dateTime,windAngle,WAReference,windSpeed,WSUnits,status,checkSum
2020-08-12 00:05:33.575847,282.1,R,1.7,N,A,2C
2020-08-12 00:05:37.109281,288.4,R,2.0,N,A,27
2020-08-12 00:05:40.576579,293.3,R,2.1,N,A,2B
2020-08-12 00:05:44.108758,291.6,R,1.9,N,A,27
2020-08-12 00:05:47.110850,286.2,R,1.3,N,A,2F
2020-08-12 00:05:50.577611,271.3,R,1.2,N,A,27
2020-08-12 00:05:54.109828,214.2,R,1.2,N,A,25
2020-08-12 00:05:57.578207,261.3,R,1.4,N,A,20
2020-08-12 00:06:01.110933,247.6,R,1.9,N,A,2C
2020-08-12 00:06:04.578072,266.7,R,2.0,N,A,24
2020-08-12 00:06:07.579123,280.1,R,1.6,N,A,2F
2020-08-12 00:06:11.105938,280.1,R,2.2,N,A,28
2020-08-12 00:06:14.111129,287.3,R,2.8,N,A,27
2020-08-12 00:06:17.579527,290.2,R,1.7,N,A,2C
2020-08-12 00:06:21.111735,287.3,R,1.7,N,A,2B
2020-08-12 00:06:24.579018,282.4,R,1.6,N,A,28
2020-08-12 00:06:27.580297,284.9,R,1.5,N,A,20
2020-08-12 00:06:31.111766,282.7,R,1.3,N,A,2E
2020-08-12 00:06:34.580206,271.3,R,1.1,N,A,24
2020-08-12 00:06:38.112738,285.9,R,1.3,N,A,27
2020-08-12 00:06:41.580048,286.3,R,1.4,N,A,29
2020-08-12 00:06:45.112728,286.7,R,1.5,N,A,2C
2020-08-12 00:06:48.113935,287.3,R,1.7,N,A,2B
2020-08-12 00:06:51.581102,292.0,R,2.0,N,A,28
2020-08-12 00:06:55.113405,293.4,R,1.5,N,A,2B
2020-08-12 00:06:58.581084,292.5,R,1.3,N,A,2D
2020-08-12 00:07:01.582255,283.1,R,1.5,N,A,2F
2020-08-12 00:07:05.114693,297.5,R,1.5,N,A,2E
2020-08-12 00:07:08.582228,291.9,R,1.6,N,A,27
2020-08-12 00:07:12.114392,278.9,R,1.8,N,A,2E
2020-08-12 00:07:15.115243,279.9,R,2.3,N,A,27
2020-08-12 00:07:18.582390,289.0,R,2.4,N,A,26
2020-08-12 00:07:21.583839,290.2,R,2.4,N,A,2C
2020-08-12 00:07:25.115235,288.1,R,1.8,N,A,29
2020-08-12 00:07:28.116431,271.3,R,1.4,N,A,21
2020-08-12 00:07:31.584082,280.9,R,1.4,N,A,25
2020-08-12 00:07:35.116516,289.4,R,1.3,N,A,26
2020-08-12 00:07:38.584185,286.9,R,1.3,N,A,24
2020-08-12 00:07:42.116629,290.3,R,1.2,N,A,28
2020-08-12 00:07:45.117703,289.1,R,1.3,N,A,23
2020-08-12 00:07:48.585347,287.5,R,1.4,N,A,2E
2020-08-12 00:07:52.117415,295.2,R,1.2,N,A,2C
2020-08-12 00:07:55.585104,287.2,R,1.3,N,A,2E
2020-08-12 00:07:59.117778,287.3,R,1.7,N,A,2B
2020-08-12 00:08:02.585341,278.5,R,1.7,N,A,2D
2020-08-12 00:08:06.117530,281.2,R,1.9,N,A,22
2020-08-12 00:08:09.118724,264.3,R,1.9,N,A,28
