dateTime,temperature,relativeWindChillTemperature,TUnits,RWCTID,RWCTUnits,theoreticalWindChillTemperature,TUnits2,TWCTID,TWCTUnits,heatIndex,HIUnits,HIID,pressureUnits,barrometricPressureBars,BPBUnits,BPBID,checkSum
2020-08-12 00:02:50.006855,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9845,B,STNP,4B
2020-08-12 00:02:57.007506,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9845,B,STNP,4B
2020-08-12 00:03:07.008043,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9845,B,STNP,4B
2020-08-12 00:03:20.008964,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:03:27.009638,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:03:37.009742,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:03:47.010649,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:03:57.011204,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9845,B,STNP,4B
2020-08-12 00:04:07.011595,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:04:14.012698,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:04:21.012463,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:04:28.013046,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:04:35.014023,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9845,B,STNP,4B
2020-08-12 00:04:45.009685,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:04:52.010317,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:04:59.010930,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:05:12.011884,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9845,B,STNP,4B
2020-08-12 00:05:22.012542,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:05:29.013390,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:05:39.013675,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9845,B,STNP,4B
2020-08-12 00:05:52.014265,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:06:02.014917,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:06:15.016378,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:06:22.015868,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:06:35.016548,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:06:42.017776,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:06:49.017898,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:06:59.018695,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:07:06.018671,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:07:13.019678,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:07:23.019686,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:07:26.020869,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:07:36.020904,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:07:46.021682,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:07:53.021537,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:08:00.022263,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:08:07.022765,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:08:14.021516,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:08:27.022115,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:08:34.022349,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:08:44.022875,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:08:51.022854,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:08:54.023956,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:09:01.023692,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:09:08.024683,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:09:15.025394,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:09:22.025163,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:09:29.025969,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:09:39.027199,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:09:46.026916,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:09:56.027702,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:10:06.028624,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:10:16.028677,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:10:26.029830,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:10:36.030148,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:10:46.031439,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:10:53.031528,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:11:00.031645,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:11:07.031647,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:11:14.032760,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9846,B,STNP,48
2020-08-12 00:11:24.035290,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:11:40.035961,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:11:50.037105,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:12:03.037817,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:12:10.037446,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:12:13.038978,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:12:26.038599,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:12:33.039191,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:12:36.040226,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:12:43.040227,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:12:53.041196,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:13:06.042146,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:13:16.042786,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:13:23.042910,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:13:36.043395,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:13:39.045164,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:13:49.044610,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:14:08.045277,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:14:18.046441,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:14:25.046434,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:14:32.047800,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:14:39.047191,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:14:46.048427,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:14:59.049002,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:15:09.048921,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:15:22.050267,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:15:35.050885,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:15:51.052151,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:15:58.052740,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:16:11.053473,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:16:24.053922,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:16:31.054698,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:16:34.058958,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
