dateTime,heading,HID,checkSum
2020-08-12 00:07:25.058949,151.0,T,2C
2020-08-12 00:07:28.060170,150.4,T,29
2020-08-12 00:07:31.527816,150.6,T,2B
2020-08-12 00:07:35.060260,150.6,T,2B
2020-08-12 00:07:38.527920,150.2,T,2F
2020-08-12 00:07:42.060374,149.8,T,2D
2020-08-12 00:07:45.061417,150.2,T,2F
2020-08-12 00:07:48.529085,150.1,T,2C
2020-08-12 00:07:52.061170,150.2,T,2F
2020-08-12 00:07:55.528824,150.6,T,2B
2020-08-12 00:07:59.061509,150.2,T,2F
2020-08-12 00:08:02.530341,150.4,T,29
2020-08-12 00:08:06.062525,150.2,T,2F
2020-08-12 00:08:09.530090,150.2,T,2F
2020-08-12 00:08:13.061016,150.3,T,2E
2020-08-12 00:08:16.528817,150.4,T,29
2020-08-12 00:08:20.061491,150.4,T,29
2020-08-12 00:08:23.528560,150.4,T,29
2020-08-12 00:08:27.060889,150.5,T,28
2020-08-12 00:08:30.529787,150.6,T,2B
2020-08-12 00:08:34.062369,150.4,T,29
2020-08-12 00:08:37.529803,150.5,T,28
2020-08-12 00:08:41.062126,150.2,T,2F
2020-08-12 00:08:44.530494,150.2,T,2F
2020-08-12 00:08:48.063351,150.4,T,29
2020-08-12 00:08:51.530492,150.4,T,29
2020-08-12 00:08:54.531575,150.6,T,2B
2020-08-12 00:08:58.064004,150.4,T,29
2020-08-12 00:09:01.531326,150.4,T,29
2020-08-12 00:09:04.532302,150.5,T,28
2020-08-12 00:09:08.064681,150.3,T,2E
2020-08-12 00:09:11.531835,150.2,T,2F
2020-08-12 00:09:14.532774,150.0,T,2D
2020-08-12 00:09:18.065225,150.3,T,2E
2020-08-12 00:09:21.532516,150.5,T,28
2020-08-12 00:09:25.065967,150.3,T,2E
2020-08-12 00:09:28.533119,150.2,T,2F
2020-08-12 00:09:32.065409,150.6,T,2B
2020-08-12 00:09:35.534103,150.1,T,2C
2020-08-12 00:09:39.065947,150.5,T,28
2020-08-12 00:09:42.533492,150.7,T,2A
2020-08-12 00:09:46.066913,150.6,T,2B
2020-08-12 00:09:49.534078,150.3,T,2E
2020-08-12 00:09:53.066652,149.9,T,2C
2020-08-12 00:09:56.535332,150.3,T,2E
2020-08-12 00:10:00.067806,150.4,T,29
2020-08-12 00:10:03.535353,150.5,T,28
2020-08-12 00:10:07.067651,149.7,T,22
2020-08-12 00:10:10.535318,150.4,T,29
2020-08-12 00:10:14.068014,150.1,T,2C
2020-08-12 00:10:17.536684,150.3,T,2E
2020-08-12 00:10:21.069129,150.4,T,29
2020-08-12 00:10:24.536665,150.4,T,29
2020-08-12 00:10:28.069198,150.3,T,2E
2020-08-12 00:10:31.537570,149.8,T,2D
2020-08-12 00:10:35.069862,150.5,T,28
2020-08-12 00:10:38.537329,150.0,T,2D
2020-08-12 00:10:42.069904,150.1,T,2C
2020-08-12 00:10:45.537550,149.9,T,2C
2020-08-12 00:10:49.069740,150.2,T,2F
2020-08-12 00:10:52.071164,150.7,T,2A
2020-08-12 00:10:55.538693,150.4,T,29
2020-08-12 00:10:59.071410,150.5,T,28
2020-08-12 00:11:02.538816,150.3,T,2E
2020-08-12 00:11:06.071414,150.2,T,2F
2020-08-12 00:11:09.539835,150.3,T,2E
2020-08-12 00:11:13.071141,149.8,T,2D
2020-08-12 00:11:16.072453,150.2,T,2F
2020-08-12 00:11:19.079861,150.5,T,28
2020-08-12 00:11:22.542290,150.3,T,2E
2020-08-12 00:11:26.074993,149.9,T,2C
2020-08-12 00:11:29.542517,150.5,T,28
2020-08-12 00:11:33.075857,150.5,T,28
2020-08-12 00:11:36.543504,150.4,T,29
2020-08-12 00:11:40.075966,150.0,T,2D
2020-08-12 00:11:43.543509,150.1,T,2C
2020-08-12 00:11:47.075951,150.3,T,2E
2020-08-12 00:11:50.544743,150.0,T,2D
2020-08-12 00:11:54.077200,150.4,T,29
2020-08-12 00:11:57.544105,150.4,T,29
2020-08-12 00:12:00.545394,150.1,T,2C
2020-08-12 00:12:04.077101,150.4,T,29
2020-08-12 00:12:07.545049,150.3,T,2E
2020-08-12 00:12:11.077809,150.2,T,2F
2020-08-12 00:12:14.546040,150.3,T,2E
2020-08-12 00:12:18.078946,150.5,T,28
